t,Q,P,Bar,Eta
2024-02-11 17:18:52,0.02705722,50.5635,26.83636,0.6961004004485194
2024-02-11 17:33:52,0.0269664,50.392,26.70728,0.699440057343036
2024-02-11 17:48:52,0.02698002,50.516,26.70728,0.7008072163329067
2024-02-11 18:03:52,0.027004999999999998,51.4755,26.97636,0.7063412685379268
2024-02-11 18:18:52,0.027091280000000002,50.7685,26.74182,0.7005116838883467
2024-02-11 18:33:52,0.02689146,50.7015,26.70182,0.7058413549557995
2024-02-11 18:48:52,0.02690963,50.753,26.74364,0.7049771034105797
2024-02-11 19:03:52,0.02700273,50.1385,26.80727,0.6923929097950394
2024-02-11 19:18:52,0.02700727,49.9465,26.70364,0.6923017783230373
2024-02-11 19:33:52,0.02700046,50.4455,26.71818,0.6990140964842095
2024-02-11 19:48:52,0.02704587,51.0045,26.7,0.7060538319846491
2024-02-11 20:03:52,0.02697094,50.185,26.74727,0.695408382470394
2024-02-11 20:18:52,0.02706403,50.7935,26.74182,0.7015623103505302
2024-02-11 20:33:52,0.02701181,50.5325,26.74909,0.6991166155833268
2024-02-11 20:48:52,0.02700046,50.5815,26.73091,0.7005648363442035
2024-02-11 21:03:52,0.02694823,50.271,26.72909,0.6976613165710696
2024-02-11 21:18:52,0.026989100000000002,50.9935,26.88364,0.702554282178705
2024-02-11 21:33:52,0.02696413,50.728,26.72,0.703827791618723
2024-02-11 21:48:52,0.0270436,50.346,26.77818,0.6949618246329283
2024-02-11 22:03:52,0.02698683,50.7935,26.66182,0.7056803292212805
2024-02-11 22:18:52,0.02689373,50.6675,26.64909,0.7067040654026872
2024-02-11 22:33:52,0.02690736,51.138,26.91273,0.7059215379844304
2024-02-11 22:48:52,0.027075389999999998,50.664,26.73455,0.6996702580691165
2024-02-11 23:03:52,0.027016349999999998,50.9585,26.80364,0.7034572710603872
2024-02-11 23:18:52,0.02698683,51.545,26.87091,0.7105486748375295
2024-02-11 23:33:52,0.02700727,50.748,26.72364,0.702884829256549
2024-02-11 23:48:52,0.02707766,50.4595,26.73637,0.696740260940133
2024-02-12 00:03:52,0.02697321,50.6155,26.76,0.7009811283166181
2024-02-12 00:18:52,0.02697321,50.5125,26.80909,0.6982737156352
2024-02-12 00:33:52,0.02747956,52.984,27.70182,0.6957740098702233
2024-02-12 00:48:52,0.02761581,54.3,27.88,0.7050027508999002
2024-02-12 01:03:52,0.02728656,52.848,27.52,0.7035142138714882
2024-02-12 01:18:52,0.027495460000000003,53.391,27.75637,0.6993360797357359
2024-02-12 01:33:52,0.02750908,53.99,27.69091,0.708502799405742
2024-02-12 01:48:52,0.027459129999999998,52.6505,27.55818,0.6955153698702
2024-02-12 02:03:52,0.027318349999999998,52.5175,27.38546,0.7017316687896976
2024-02-12 02:18:52,0.02687784,50.073,26.64,0.6990633993969546
2024-02-12 02:33:52,0.02697548,50.403,26.71455,0.6991669323181855
2024-02-12 02:48:52,0.027095829999999998,51.035,26.84727,0.7013052131668052
2024-02-12 03:03:52,0.02700273,50.34,26.71818,0.6974935620921833
2024-02-12 03:18:52,0.026843779999999998,49.901,26.61273,0.6982608417157069
2024-02-12 03:33:52,0.026914169999999998,50.5735,26.71091,0.7032259246337361
2024-02-12 03:48:52,0.026984559999999998,49.679,26.62364,0.6912443738123658
2024-02-12 04:03:52,0.02687557,50.111,26.63818,0.6997008054408989
2024-02-12 04:18:52,0.02697321,49.591,26.65455,0.6895097551294345
2024-02-12 04:33:52,0.02697321,50.45,26.69818,0.7003069198358052
2024-02-12 04:48:53,0.02685059,50.2065,26.64909,0.7013992024397405
2024-02-12 05:03:53,0.02700727,50.013,26.70182,0.6932707761762231
2024-02-12 05:18:53,0.026918710000000002,50.0355,26.65455,0.6970985555708193
2024-02-12 05:33:53,0.02697094,50.3835,26.72546,0.6987287271659817
2024-02-12 05:48:53,0.026868760000000002,50.052,26.68909,0.6977206602478992
2024-02-12 06:03:53,0.02697094,50.3625,26.8,0.6964949004171074
2024-02-12 06:18:53,0.02690963,50.458,26.72182,0.701451760100482
2024-02-12 06:33:53,0.02696413,50.7115,26.85818,0.69997898531314
2024-02-12 06:48:53,0.02691644,49.755,26.80182,0.6894398191908372
2024-02-12 07:03:53,0.026984559999999998,50.149,26.80909,0.6929571834130099
2024-02-12 07:18:53,0.02698229,49.8795,26.72,0.6915894655681598
