,t,Val
0,2023-11-10 00:12:00,1.58
1,2023-11-10 00:13:00,1.58
2,2023-11-10 00:13:00,1.58
3,2023-11-10 00:14:00,1.58
4,2023-11-10 00:14:00,1.58
5,2023-11-10 00:15:00,1.58
6,2023-11-10 00:15:00,1.58
7,2023-11-10 00:16:00,1.58
8,2023-11-10 00:16:00,1.58
9,2023-11-10 00:17:00,1.58
10,2023-11-10 00:17:00,1.58
11,2023-11-10 00:18:00,1.58
12,2023-11-10 00:18:00,1.58
13,2023-11-10 00:19:00,1.58
14,2023-11-10 00:19:00,1.58
15,2023-11-10 00:20:00,1.58
16,2023-11-10 00:20:00,1.58
17,2023-11-10 00:21:00,1.58
18,2023-11-10 00:21:00,1.58
19,2023-11-10 00:22:00,1.58
20,2023-11-10 00:22:00,1.58
21,2023-11-10 00:23:00,1.58
22,2023-11-10 00:23:00,1.58
23,2023-11-10 00:24:00,1.58
24,2023-11-10 00:24:00,1.58
25,2023-11-10 00:25:00,1.58
26,2023-11-10 00:25:00,1.58
27,2023-11-10 00:26:00,1.58
28,2023-11-10 00:26:00,1.58
29,2023-11-10 00:27:00,1.58
30,2023-11-10 00:27:00,1.58
31,2023-11-10 00:28:00,1.58
32,2023-11-10 00:28:00,1.58
33,2023-11-10 00:29:00,1.58
34,2023-11-10 00:29:00,1.58
35,2023-11-10 00:30:00,1.58
36,2023-11-10 00:30:00,1.58
37,2023-11-10 00:31:00,1.58
38,2023-11-10 00:31:00,1.58
39,2023-11-10 00:32:00,1.58
40,2023-11-10 00:32:00,1.58
41,2023-11-10 00:33:00,1.58
42,2023-11-10 00:33:00,1.58
43,2023-11-10 00:34:00,1.58
44,2023-11-10 00:34:00,1.58
45,2023-11-10 00:35:00,1.58
46,2023-11-10 00:35:00,1.58
47,2023-11-10 00:36:00,1.58
48,2023-11-10 00:36:00,1.58
49,2023-11-10 00:37:00,1.58
50,2023-11-10 00:37:00,1.58
51,2023-11-10 00:38:00,1.58
52,2023-11-10 00:38:00,1.58
53,2023-11-10 00:39:00,1.58
54,2023-11-10 00:39:00,1.58
55,2023-11-10 00:40:00,1.58
56,2023-11-10 00:40:00,1.58
57,2023-11-10 00:41:00,1.58
58,2023-11-10 00:41:00,1.58
59,2023-11-10 00:42:00,1.58
